subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;0;1;0;14,92738598;-8,768992572;-24,93556362;14,80950711
1;0;0;1;0;-13,96261754;9,286113036;-11,36569729;20,38418937
1;0;0;1;0;-4,232080818;15,3867725;-2,002880859;-12,01105169
1;0;0;1;0;-8,244536576;-7,745244917;1,399953982;-28,30373041
1;0;0;0;1;35,37841364;-9,19211877;-7,784150947;1,852207938
1;0;0;0;1;-2,053513934;-38,80071551;-0,514090506;4,881793835
1;0;1;0;0;14,95438366;-1,004695325;0;12,7476691
1;0;1;1;1;0;3,542443131;20,76534544;-9,111421944
1;0;0;0;1;-2,03970231;-14,50319927;23,92861388;7,327776291
1;0;1;1;1;17,42649753;-14,76017505;-6,517832839;0
1;0;0;1;0;0,358250951;-11,54409329;-7,266563735;-9,207208857
1;0;0;0;1;-15,11255565;-7,540144742;-15,24959288;9,22023429
1;0;0;1;0;7,520312081;-13,19636093;10,65363633;-26,07501864
1;0;1;0;0;-22,536736;0;-3,777837193;-2,291361517
1;0;0;1;0;4,829319347;2,08202031;8,822263293;10,39990933
1;0;0;0;1;-18,62066505;-12,35443505;-9,241496021;11,57928363
1;0;0;1;0;-0,060244781;31,92520364;-28,41975084;-10,54418078
1;0;1;1;1;3,617937471;-3,097215676;-10,34715397;0
1;0;0;1;0;12,93811063;5,745164668;11,94848178;3,679237816
1;0;0;0;1;-24,361685;7,661561455;9,92069248;26,27064234
1;0;0;0;1;-4,040597357;-2,774011326;-8,103015886;18,50715635
1;0;1;1;1;0;-13,26105818;11,1619222;5,453803461
1;0;1;0;0;19,34312437;0;-4,018622554;-11,6405939
1;0;1;1;1;0;-18,44773442;5,271198815;8,38464049
1;0;1;1;1;3,826370807;19,60430903;16,97205786;0
1;0;0;0;1;-3,180820833;17,22043676;-2,572612009;1,323034389
1;0;0;0;1;-6,298227391;10,38779435;-13,50072853;7,241459105
1;0;1;1;1;-5,347761499;-4,633473993;0;6,818756285
1;0;1;0;0;0;14,47282288;-8,704505449;-8,43621206
1;0;0;1;0;2,962264037;-12,04458157;-21,131236;2,640889371
1;0;1;1;1;20,17994171;0;30,71277684;-3,238269488
1;0;1;1;1;-38,05294146;0;-7,10093818;-5,417004086
1;0;0;1;0;-7,567253647;-14,31342442;-12,87759592;-11,66240271
1;0;0;1;0;9,026711872;-6,091507997;-9,872836223;-10,52955314
1;0;1;1;1;0,610056634;17,13344606;8,576150539;0
1;0;1;1;1;27,88869606;-6,64334449;0;8,692025558
1;0;0;0;1;5,538441414;-9,691329868;-16,22757274;16,11358791
1;0;0;1;0;19,61608507;1,761695839;-10,23277128;5,001996664
1;0;1;0;0;27,45682047;0;17,2052625;22,16795113
1;0;1;0;0;-14,53838599;-3,562284979;32,65121848;0
1;0;0;1;0;-1,851136189;-0,274524658;-30,50391256;10,98132754
1;0;1;1;1;-14,55708703;22,74358654;15,62069346;0
1;0;1;1;1;-5,924725777;-1,431910134;0;18,51227691
1;0;1;1;1;26,22065394;-6,297001329;-8,277273926;0
1;0;0;1;0;-11,4481614;-13,06799626;-18,69069648;-39,18741329
1;0;0;0;1;3,558944782;-26,90258341;-0,080340291;-20,73689982
1;0;1;1;1;10,24622578;0;-7,022533527;-2,354196624
1;0;0;1;0;-1,579265517;-9,182397963;-46,03317874;-6,24200106
1;0;1;0;0;-16,82659908;0;12,59721127;10,45203075
1;0;1;1;1;0;20,24952039;-0,054273662;-8,504317968
1;0;1;1;1;24,61833667;0;1,309646769;7,782202244
1;0;1;1;1;-17,37960124;-3,242756078;-11,60807473;0
1;0;1;1;1;7,732694137;0;10,83036404;4,155372563
1;0;1;1;1;0,17799754;4,175659206;0;2,487763228
1;0;1;1;1;-1,539139782;-23,36961619;0;-27,08310301
1;0;0;0;1;-2,701530219;-9,497749665;-13,355967;-4,590824143
1;0;1;1;1;15,83096865;0;-4,598349388;-20,70146608
1;0;0;1;0;-13,59939379;-16,62707809;-0,302590817;17,35084053
1;0;1;0;0;1,757919577;0;-19,09282809;24,44655183
1;0;1;0;0;0;-23,44594872;-29,53637264;-18,84819654
1;0;0;1;0;4,059125298;0,959000301;-1,036145187;-10,95612933
1;0;0;0;1;19,80504136;17,32730806;12,10365448;4,117110578
1;0;0;1;0;-7,786803878;13,30132784;-10,45715115;-32,32173779
1;0;1;0;0;4,764035458;-16,02790373;10,6413824;0
1;0;0;1;0;4,976009121;26,12443383;12,17534543;16,58277706
1;0;1;1;1;-15,56441108;-2,124047472;0;21,23986661
1;0;0;0;1;15,28226946;-9,699763785;8,752430462;-16,15263309
1;0;1;1;1;-39,24586381;6,686976548;-15,27476295;0
1;0;1;0;0;-0,938661824;-22,52754659;0,692325077;0
1;0;0;1;0;-15,09916187;6,297724591;13,60309961;6,300364333
1;0;0;1;0;-6,556353759;2,572344826;2,943713628;-0,822148078
1;0;0;0;1;-7,832055445;25,22410539;18,04406988;-7,378447337
1;0;1;0;0;-13,79193852;0;-1,521163764;-7,059780125
1;0;0;1;0;-8,135143168;0,113985285;3,770622682;8,005906545
1;0;0;0;1;-14,59277638;9,738831541;-5,958165094;-1,957949069
1;0;1;1;1;0;1,734772836;-19,72876207;23,07044365
