manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1052,mixed,500,400,2000,6,28,1.0094367861,0,L,8,z,0,1051,,,,,,,,,D,989,8,Rouge,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,76
vs12,am,4,2,08Feb2013,1037,mixed,500,400,2000,3,6,2.21016726948,1,L,4,z,1,468,,,,,,,,,A,1331,1,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,77
vs12,am,4,2,08Feb2013,1028,mixed,500,400,2000,1,8,0.911416500894,0,X,8,z,1,892,,,,,,,,,D,1184,8,Vert,0,7,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,78
vs12,am,4,2,08Feb2013,1055,mixed,500,400,2000,7,5,2.2129727067,1,X,16,z,1,364,,,,,,,,,A,2046,3,Vert,0,14,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,79
vs12,am,4,2,08Feb2013,1035,mixed,500,400,2000,2,36,4.04598219133,0,X,4,z,1,492,,,,,,,,,A,1641,1,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,80
vs12,am,4,2,08Feb2013,1048,mixed,500,400,2000,5,36,2.6386261273,1,X,4,a,1,462,,,,,,,,,A,2792,2,Rouge,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,81
vs12,am,4,2,08Feb2013,1038,mixed,500,400,2000,3,14,2.75945745061,0,L,16,z,1,502,,,,,,,,,A,2048,1,Vert,0,12,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,82
vs12,am,4,2,08Feb2013,1050,mixed,500,400,2000,6,7,2.77788155764,0,L,8,a,1,518,,,,,,,,,A,3731,3,Rouge,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,83
vs12,am,4,2,08Feb2013,1018,Ent1,500,400,2000,1,3,1.24961330774,1,X,4,z,1,323,,,,,,,,,,,,Vert,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,84
vs12,am,4,2,08Feb2013,1056,mixed,500,400,2000,7,12,3.42477133956,1,L,8,z,1,1017,,,,,,,,,B,968,4,Vert,0,8,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,85
vs12,am,4,2,08Feb2013,1019,Ent1,500,400,2000,1,2,3.07326760853,0,X,4,a,1,440,,,,,,,,,,,,Rouge,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,86
vs12,am,4,2,08Feb2013,1045,mixed,500,400,2000,5,4,4.01815703031,0,X,8,z,1,349,,,,,,,,,A,1433,1,Vert,0,6,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,87
vs12,am,4,2,08Feb2013,1015,Ent1,500,400,2000,1,4,3.77662725397,0,L,4,z,1,278,,,,,,,,,,,,Vert,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,88
vs12,am,4,2,08Feb2013,1052,mixed,500,400,2000,6,20,2.95466943765,1,L,4,z,1,710,,,,,,,,,A,3060,2,Vert,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,89
vs12,am,4,2,08Feb2013,1033,mixed,500,400,2000,2,13,0.760728381327,1,X,4,a,1,1316,,,,,,,,,A,2306,3,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,90
vs12,am,4,2,08Feb2013,1028,mixed,500,400,2000,1,3,3.26316938078,1,X,16,z,1,799,,,,,,,,,A,1918,3,Vert,0,11,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,91
vs12,am,4,2,08Feb2013,1024,Ent2,500,400,2000,1,3,4.63525636733,0,X,16,a,1,1228,,,,,,,,,B,2969,5,Rouge,0,10,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,92
vs12,am,4,2,08Feb2013,1017,Ent1,500,400,2000,1,4,3.74295472782,0,L,4,a,1,449,,,,,,,,,,,,Rouge,0,3,0,0,,,0,AM,732.4,0,2,0,5,3000,5,,,0,L among T,93
vs12,am,4,2,08Feb2013,1052,mixed,500,400,2000,6,22,6.11587896236,0,L,4,a,1,560,,,,,,,,,A,2441,1,Rouge,0,3,0,0,,,0,AM,1634,0.16,1,0,2,3000,1,,,0,L among T,94
vs12,am,4,2,08Feb2013,1042,mixed,500,400,2000,4,16,5.97973553812,1,L,4,z,1,376,,,,,,,,,A,878,1,Vert,0,1,0,0,,,0,AM,1078,0.17,0,0,3,3000,2,,,0,L among T,95
vs12,am,4,2,08Feb2013,1042,mixed,500,400,2000,4,14,3.39682068057,0,X,16,a,1,421,,,,,,,,,A,1189,1,Rouge,0,6,0,0,,,0,AM,1626,0.18,0,0,2,3000,1,,,0,X among T,96
vs12,am,4,2,08Feb2013,1044,mixed,500,400,2000,4,34,0.823461050004,0,L,8,z,1,391,,,,,,,,,B,1283,4,Vert,0,8,0,0,,,0,AM,1810,0.18,0,0,2,3000,1,,,0,L among T,97
vs12,am,4,2,08Feb2013,1045,mixed,500,400,2000,5,8,3.89232137575,0,L,8,z,1,357,,,,,,,,,A,1038,3,Vert,0,5,0,0,,,0,AM,1636,0.19,0,0,2,3000,1,,,0,L among T,98
vs12,am,4,2,08Feb2013,1037,mixed,500,400,2000,3,8,3.87209896626,1,X,4,z,1,411,,,,,,,,,A,1843,2,Vert,0,2,0,0,,,0,AM,1703.5,0.19,0,0,2,3000,1,,,0,X among T,99
vs12,am,4,2,08Feb2013,1029,mixed,500,400,2000,1,16,5.6859983151,1,X,8,z,1,751,,,,,,,,,A,2903,1,Vert,0,2,0,0,,,0,AM,1646.5,0.2,0,0,2,3000,1,,,0,X among T,100
vs12,am,4,2,08Feb2013,1047,mixed,500,400,2000,5,21,2.63640057122,0,L,16,a,1,748,,,,,,,,,D,1051,8,Rouge,0,7,0,0,,,0,AM,1137,0.21,0,0,3,3000,2,,,0,L among T,101
vs12,am,4,2,08Feb2013,1100,mixed,500,400,2000,8,3,1.50940018536,0,L,16,a,1,377,,,,,,,,,B,2101,4,Rouge,0,3,0,0,,,0,AM,1786.5,0.21,0,0,2,3000,1,,,0,L among T,102
